Format,Matches,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s,Name
Test,200,329,33,15921,248,53.79,29437,54.08,51,6,68,2058,69,Sachin Tendulkar
ODI,463,452,41,18426,200,44.83,21367,86.24,49,1,96,2016,195,Sachin Tendulkar
T20I,1,1,0,10,10,10.0,12,83.33,0,0,0,2,0,Sachin Tendulkar
IPL,78,78,9,2334,100,33.83,1948,119.82,1,0,13,295,29,Sachin Tendulkar
Test,104,180,6,8586,319,49.34,10441,82.23,23,6,32,1233,91,Virender Sehwag
ODI,251,245,9,8273,219,35.06,7929,104.34,15,1,38,1132,136,Virender Sehwag
T20I,19,18,0,394,68,21.89,271,145.39,0,0,2,43,16,Virender Sehwag
IPL,104,104,5,2728,122,27.56,1755,155.44,2,0,16,334,106,Virender Sehwag
Test,164,286,32,13288,270,52.31,31258,42.51,36,5,63,1655,21,Rahul Dravid
ODI,344,318,40,10889,153,39.17,15284,71.24,12,0,83,950,42,Rahul Dravid
T20I,1,1,0,31,31,31.0,21,147.62,0,0,0,0,3,Rahul Dravid
IPL,89,82,5,2174,75,28.23,1882,115.52,0,0,11,268,28,Rahul Dravid
Test,134,225,32,8781,281,45.5,17785,49.37,17,2,56,1135,5,VVS Laxman
ODI,86,83,7,2338,131,30.76,3282,71.24,6,0,10,222,4,VVS Laxman
IPL,20,20,1,282,52,14.84,267,105.62,0,0,1,33,5,VVS Laxman
Test,113,188,17,7212,239,42.18,14070,51.26,16,1,35,900,57,Sourav Ganguly
ODI,311,300,21,11363,183,40.73,15416,73.71,22,0,72,1122,190,Sourav Ganguly
IPL,59,56,3,1349,91,25.45,1263,106.81,0,0,7,137,42,Sourav Ganguly
Test,46,67,13,544,47,10.07,1313,41.43,0,0,0,53,22,Shoaib Akhtar
ODI,163,84,40,394,43,8.95,538,73.23,0,0,0,27,12,Shoaib Akhtar
T20I,15,6,3,21,8,7.0,16,131.25,0,0,0,2,1,Shoaib Akhtar
